model,classifier,source_species,target_species,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_test
convnext_tiny,KNN_3,Ovale,Vivax,0.4666666666666667,0.3481481481481481,0.35,0.6799999999999999,0.26111111111111107,0.4666666666666667,0.2928571428571428,0.5428571428571428,0.26307610980099005,,3
convnext_tiny,KNN_5,Ovale,Vivax,0.4666666666666667,0.3481481481481481,0.35,0.6799999999999999,0.26111111111111107,0.4666666666666667,0.2928571428571428,0.5428571428571428,0.26307610980099005,,3
convnext_tiny,RF,Ovale,Malariae,0.25,0.42857142857142855,0.3333333333333333,0.611111111111111,0.3214285714285714,0.25,0.2361111111111111,0.3009259259259259,0.23757425355816877,,3
convnext_tiny,LR,Ovale,Malariae,0.16666666666666666,0.38095238095238093,0.20833333333333331,0.3194444444444445,0.2857142857142857,0.16666666666666666,0.18055555555555555,0.17129629629629628,0.08752735657406217,,3
convnext_tiny,KNN_1,Ovale,Malariae,0.16666666666666666,0.38095238095238093,0.13333333333333333,0.2111111111111111,0.2857142857142857,0.16666666666666666,0.13333333333333333,0.14444444444444446,-0.023357091793352585,,3
convnext_tiny,KNN_3,Ovale,Malariae,0.16666666666666666,0.38095238095238093,0.13333333333333333,0.2111111111111111,0.2857142857142857,0.16666666666666666,0.13333333333333333,0.14444444444444446,-0.023357091793352585,,3
convnext_tiny,KNN_5,Ovale,Malariae,0.16666666666666666,0.38095238095238093,0.13333333333333333,0.2111111111111111,0.2857142857142857,0.16666666666666666,0.13333333333333333,0.14444444444444446,-0.023357091793352585,,3
dinobloom_base,RF,Falciparum,Vivax,0.6,0.4222222222222222,0.39285714285714285,0.5928571428571429,0.4222222222222222,0.6,0.40196078431372556,0.5901960784313726,0.24356115022372735,,3
dinobloom_base,LR,Falciparum,Vivax,0.6,0.6592592592592593,0.7142857142857143,0.9428571428571428,0.6592592592592593,0.6,0.4861111111111111,0.6527777777777778,0.4920678313051229,,3
dinobloom_base,KNN_1,Falciparum,Vivax,0.8,0.8888888888888888,0.7380952380952381,0.8714285714285714,0.8888888888888888,0.8,0.7666666666666666,0.8022222222222222,0.7025537379701232,,3
dinobloom_base,KNN_3,Falciparum,Vivax,0.8,0.8888888888888888,0.7380952380952381,0.8714285714285714,0.8888888888888888,0.8,0.7666666666666666,0.8022222222222222,0.7025537379701232,,3
dinobloom_base,KNN_5,Falciparum,Vivax,0.8,0.8888888888888888,0.7380952380952381,0.8714285714285714,0.8888888888888888,0.8,0.7666666666666666,0.8022222222222222,0.7025537379701232,,3
dinobloom_base,RF,Falciparum,Ovale,0.8,0.6666666666666666,0.8888888888888888,0.8444444444444444,0.6666666666666666,0.8,0.6875,0.7625,0.5091750772173156,,2
dinobloom_base,LR,Falciparum,Ovale,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2
dinobloom_base,KNN_1,Falciparum,Ovale,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2
dinobloom_base,KNN_3,Falciparum,Ovale,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2
dinobloom_base,KNN_5,Falciparum,Ovale,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2
dinobloom_base,RF,Falciparum,Malariae,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.027777777777777776,0.25,0.08333333333333333,0.125,0.041666666666666664,0.1386750490563073,,3
dinobloom_base,LR,Falciparum,Malariae,0.16666666666666666,0.09523809523809523,0.25,0.5833333333333334,0.07142857142857142,0.16666666666666666,0.1111111111111111,0.25925925925925924,0.10675210253672476,,3
dinobloom_base,KNN_1,Falciparum,Malariae,0.16666666666666666,0.4166666666666667,0.2916666666666667,0.34722222222222227,0.3125,0.16666666666666666,0.17142857142857143,0.15714285714285714,0.17505471314812435,,3
dinobloom_base,KNN_3,Falciparum,Malariae,0.16666666666666666,0.4166666666666667,0.2916666666666667,0.34722222222222227,0.3125,0.16666666666666666,0.17142857142857143,0.15714285714285714,0.17505471314812435,,3
dinobloom_base,KNN_5,Falciparum,Malariae,0.16666666666666666,0.4166666666666667,0.2916666666666667,0.34722222222222227,0.3125,0.16666666666666666,0.17142857142857143,0.15714285714285714,0.17505471314812435,,3
dinobloom_base,RF,Vivax,Falciparum,0.9047619047619048,0.5,0.4523809523809524,0.81859410430839,0.5,0.9047619047619048,0.475,0.8595238095238096,0.0,,2
dinobloom_base,LR,Vivax,Falciparum,0.9047619047619048,0.5,0.4523809523809524,0.81859410430839,0.5,0.9047619047619048,0.475,0.8595238095238096,0.0,,2
dinobloom_base,KNN_1,Vivax,Falciparum,0.6666666666666666,0.3684210526315789,0.2916666666666667,0.7916666666666666,0.24561403508771928,0.6666666666666666,0.26666666666666666,0.7238095238095239,-0.09068453126375146,,2
dinobloom_base,KNN_3,Vivax,Falciparum,0.6666666666666666,0.3684210526315789,0.2916666666666667,0.7916666666666666,0.24561403508771928,0.6666666666666666,0.26666666666666666,0.7238095238095239,-0.09068453126375146,,2
dinobloom_base,KNN_5,Vivax,Falciparum,0.6666666666666666,0.3684210526315789,0.2916666666666667,0.7916666666666666,0.24561403508771928,0.6666666666666666,0.26666666666666666,0.7238095238095239,-0.09068453126375146,,2
