model,classifier,source_species,target_species,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_test
radiomics,RF,Vivax,Falciparum,0.9047619047619048,0.5,0.4523809523809524,0.81859410430839,0.5,0.9047619047619048,0.475,0.8595238095238096,0.0,,2
radiomics,LR,Vivax,Falciparum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
radiomics,KNN_1,Vivax,Falciparum,0.23809523809523808,0.13157894736842105,0.3333333333333333,0.9047619047619048,0.08771929824561403,0.23809523809523808,0.1388888888888889,0.376984126984127,0.09068453126375146,,2
radiomics,KNN_3,Vivax,Falciparum,0.23809523809523808,0.13157894736842105,0.3333333333333333,0.9047619047619048,0.08771929824561403,0.23809523809523808,0.1388888888888889,0.376984126984127,0.09068453126375146,,2
radiomics,KNN_5,Vivax,Falciparum,0.23809523809523808,0.13157894736842105,0.3333333333333333,0.9047619047619048,0.08771929824561403,0.23809523809523808,0.1388888888888889,0.376984126984127,0.09068453126375146,,2
radiomics,RF,Vivax,Ovale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
radiomics,LR,Vivax,Ovale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2
radiomics,KNN_1,Vivax,Ovale,0.1,0.07142857142857142,0.3333333333333333,0.7,0.047619047619047616,0.1,0.08333333333333333,0.175,0.10910894511799618,,2
radiomics,KNN_3,Vivax,Ovale,0.1,0.07142857142857142,0.3333333333333333,0.7,0.047619047619047616,0.1,0.08333333333333333,0.175,0.10910894511799618,,2
radiomics,KNN_5,Vivax,Ovale,0.1,0.07142857142857142,0.3333333333333333,0.7,0.047619047619047616,0.1,0.08333333333333333,0.175,0.10910894511799618,,2
radiomics,RF,Vivax,Malariae,0.4166666666666667,0.30952380952380953,0.27777777777777773,0.40277777777777773,0.30952380952380953,0.4166666666666667,0.2871794871794872,0.40256410256410263,-0.08006407690254358,,3
radiomics,LR,Vivax,Malariae,0.5833333333333334,0.3333333333333333,0.19444444444444445,0.34027777777777785,0.3333333333333333,0.5833333333333334,0.24561403508771928,0.4298245614035088,0.0,,3
radiomics,KNN_1,Vivax,Malariae,0.25,0.25,0.0909090909090909,0.0909090909090909,0.25,0.25,0.13333333333333333,0.13333333333333333,-0.36210341218895065,,3
radiomics,KNN_3,Vivax,Malariae,0.25,0.25,0.0909090909090909,0.0909090909090909,0.25,0.25,0.13333333333333333,0.13333333333333333,-0.36210341218895065,,3
radiomics,KNN_5,Vivax,Malariae,0.25,0.25,0.0909090909090909,0.0909090909090909,0.25,0.25,0.13333333333333333,0.13333333333333333,-0.36210341218895065,,3
radiomics,RF,Ovale,Falciparum,0.09523809523809523,0.5,0.03508771929824561,0.010025062656641603,0.3333333333333333,0.09523809523809523,0.06349206349206349,0.018140589569160998,0.05263157894736842,,2
radiomics,LR,Ovale,Falciparum,0.09523809523809523,0.5,0.047619047619047616,0.009070294784580499,0.5,0.09523809523809523,0.08695652173913043,0.016563146997929608,0.0,,2
radiomics,KNN_1,Ovale,Falciparum,0.6190476190476191,0.7894736842105263,0.6,0.9238095238095237,0.7894736842105263,0.6190476190476191,0.5333333333333333,0.6952380952380951,0.3402785236893603,,2
