model,classifier,fold,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_val,split
reddino_base,RF,fold3,0.8793103448275862,0.8500000000000001,0.8660714285714286,0.8866995073891625,0.8500000000000001,0.8793103448275862,0.8476528542451464,0.8751436365271437,0.8388203610596661,0.9879299903100774,4,test
reddino_base,LR,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,LR,fold3,0.8620689655172413,0.8333333333333334,0.8431372549019608,0.8744929006085193,0.8333333333333334,0.8620689655172413,0.8272669220945083,0.858964196062888,0.81763640973993,0.9909156976744186,4,test
reddino_base,KNN_1,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,KNN_1,fold3,0.8620689655172413,0.8291666666666666,0.8307692307692307,0.8674624226348363,0.8291666666666666,0.8620689655172413,0.8258841548315233,0.8612191398035318,0.8135461010441662,0.892994291371756,4,test
reddino_base,KNN_3,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,KNN_3,fold3,0.8793103448275862,0.8500000000000001,0.8557692307692308,0.8852785145888594,0.8500000000000001,0.8793103448275862,0.8452380952380952,0.8760262725779966,0.8387958921360812,0.9661779575328615,4,test
reddino_base,KNN_5,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,KNN_5,fold3,0.8620689655172413,0.8333333333333334,0.8585593328240387,0.8765081267616764,0.8333333333333334,0.8620689655172413,0.8312568901747637,0.8573053127822302,0.8178615650477534,0.9748370091843613,4,test
reddino_base,RF,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,RF,fold4,0.8620689655172413,0.825,0.8557692307692308,0.8824049513704687,0.825,0.8620689655172413,0.8205357142857143,0.8570197044334975,0.8201948307437729,0.9862342538759691,4,test
reddino_base,LR,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,LR,fold4,0.8620689655172413,0.8333333333333334,0.8431372549019608,0.8744929006085193,0.8333333333333334,0.8620689655172413,0.8272669220945083,0.858964196062888,0.81763640973993,0.9910489341085271,4,test
reddino_base,KNN_1,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,KNN_1,fold4,0.8620689655172413,0.8291666666666666,0.8307692307692307,0.8674624226348363,0.8291666666666666,0.8620689655172413,0.8258841548315233,0.8612191398035318,0.8135461010441662,0.892994291371756,4,test
reddino_base,KNN_3,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,KNN_3,fold4,0.8793103448275862,0.8500000000000001,0.8557692307692308,0.8852785145888594,0.8500000000000001,0.8793103448275862,0.8452380952380952,0.8760262725779966,0.8387958921360812,0.9663717559824738,4,test
reddino_base,KNN_5,fold4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,KNN_5,fold4,0.8620689655172413,0.8333333333333334,0.8585593328240387,0.8765081267616764,0.8333333333333334,0.8620689655172413,0.8312568901747637,0.8573053127822302,0.8178615650477534,0.9748370091843613,4,test
reddino_base,RF,fold5,0.9523809523809523,0.9523809523809523,0.5,1.0,0.47619047619047616,0.9523809523809523,0.4878048780487805,0.975609756097561,0.0,,1,val
reddino_base,RF,fold5,0.8793103448275862,0.8500000000000001,0.8715255332902392,0.8946236319461471,0.8500000000000001,0.8793103448275862,0.8476528542451464,0.8766724287812628,0.8410933671202695,0.9887112403100775,4,test
reddino_base,LR,fold5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
reddino_base,LR,fold5,0.8620689655172413,0.8333333333333334,0.8431372549019608,0.8744929006085193,0.8333333333333334,0.8620689655172413,0.8272669220945083,0.858964196062888,0.81763640973993,0.991436531007752,4,test
reddino_base,KNN_1,fold5,0.8571428571428571,0.8571428571428571,0.5,1.0,0.42857142857142855,0.8571428571428571,0.46153846153846156,0.9230769230769231,0.0,,1,val
reddino_base,KNN_1,fold5,0.8620689655172413,0.8291666666666666,0.8307692307692307,0.8674624226348363,0.8291666666666666,0.8620689655172413,0.8258841548315233,0.8612191398035318,0.8135461010441662,0.892994291371756,4,test
reddino_base,KNN_3,fold5,0.9523809523809523,0.9523809523809523,0.5,1.0,0.47619047619047616,0.9523809523809523,0.4878048780487805,0.975609756097561,0.0,,1,val
reddino_base,KNN_3,fold5,0.8793103448275862,0.8500000000000001,0.8557692307692308,0.8852785145888594,0.8500000000000001,0.8793103448275862,0.8452380952380952,0.8760262725779966,0.8387958921360812,0.9661779575328615,4,test
reddino_base,KNN_5,fold5,0.9047619047619048,0.9047619047619048,0.5,1.0,0.4523809523809524,0.9047619047619048,0.475,0.95,0.0,,1,val
reddino_base,KNN_5,fold5,0.8620689655172413,0.8333333333333334,0.8585593328240387,0.8765081267616764,0.8333333333333334,0.8620689655172413,0.8312568901747637,0.8573053127822302,0.8178615650477534,0.9744494122851366,4,test
resnet50,RF,fold1,0.7428571428571429,0.7,0.5,1.0,0.35,0.7428571428571429,0.39285714285714285,0.8163265306122448,0.6286185570937122,,2,val
resnet50,RF,fold1,0.9310344827586207,0.9083333333333334,0.9246323529411764,0.9328093306288032,0.9083333333333334,0.9310344827586207,0.9131944444444444,0.9293582375478927,0.906572299922168,0.9836967054263566,4,test
resnet50,LR,fold1,0.7714285714285715,0.7333333333333334,0.5,1.0,0.3666666666666667,0.7714285714285715,0.40909090909090906,0.8441558441558442,0.6621221919717306,,2,val
resnet50,LR,fold1,0.9310344827586207,0.9083333333333334,0.9246323529411764,0.9328093306288032,0.9083333333333334,0.9310344827586207,0.9131944444444444,0.9293582375478927,0.906572299922168,0.9954578488372093,4,test
resnet50,KNN_1,fold1,0.7142857142857143,0.6666666666666666,0.5,1.0,0.3333333333333333,0.7142857142857143,0.375,0.7857142857142857,0.6035716402834569,,2,val
resnet50,KNN_1,fold1,0.9655172413793104,0.9583333333333333,0.9583333333333333,0.9655172413793104,0.9583333333333333,0.9655172413793104,0.9583333333333333,0.9655172413793104,0.9527302363488183,0.973655523255814,4,test
